1146,1,1
10831,1,1
2070,1,1
148,1,1
7638,1,10
1788,1,1
1460,1,1
148,1,1
1886,2,2
9478,1,11
148,1,1
1422,1,1
1444,1,1
888,1,1
4234,4,3
588,1,1
588,1,1
11562,1,13
2024,2,2
444,1,1
588,1,1
4298,4,3
9978,1,11
592,1,1
11741,1,1
888,1,1
1176,1,1
784,2,1
1581,1,2
9736,1,1
8968,1,1
7254,1,11
7197,1,1
1176,2,1
1288,1,1
148,1,1
444,1,1
9610,1,1
148,1,1
148,1,1
6112,1,1
1386,2,2
296,1,1
11442,1,1
444,1,1
10130,2,5
11818,1,1
1324,1,1
6471,1,8
9245,1,11
10229,3,13
8986,1,11
11959,1,15
7738,1,10
11578,3,2
9843,1,13
10339,1,1
9941,1,1
7455,1,1
2118,1,1
11266,1,1
148,1,1
2562,1,1
3514,3,3
5720,1,3
3408,2,2
1854,1,1
148,1,1
1570,1,1
1164,1,1
1130,1,1
8587,1,10
7435,1,1
788,1,1
6906,1,9
222,1,1
8906,1,1
10142,1,13
6598,3,3
588,1,1
8506,1,10
148,1,1
8747,1,11
588,1,1
7666,1,10
592,1,1
148,1,1
1328,1,2
2250,1,2
3644,3,3
148,1,1
2544,3,3
588,1,1
296,1,1
5619,1,7
11599,1,1
1750,2,2
588,1,1
6741,1,1
6480,1,1
6451,1,8
2991,4,4
148,1,1
1280,1,2
148,1,1
7331,1,8
1918,3,3
148,1,1
888,1,1
10000,1,13
7245,1,1
888,1,1
8315,1,1
8607,1,1
4475,1,8
11078,3,3
9722,1,11
12018,5,6
1720,1,1
8172,1,1
5655,2,2
11075,1,1
7065,1,9
888,1,1
2156,1,1
1638,1,1
1870,1,1
740,1,1
148,1,1
196,1,1
296,1,1
740,1,1
4912,4,4
2928,3,3
444,1,1
1542,1,1
1840,1,1
8896,1,1
1914,1,1
1096,1,1
148,1,1
9119,1,1
148,1,1
1142,1,1
3788,5,3
4550,3,3
6156,6,4
444,1,1
1026,1,1
2612,2,2
9973,1,15
10617,2,2
812,1,1
3404,1,2
1742,1,1
148,1,1
888,1,1
10425,1,14
1632,1,1
5634,1,9
1054,2,2
294,1,1
296,1,1
964,1,1
2668,1,1
7832,1,1
4128,1,2
12147,1,1
588,1,1
8012,1,9
592,1,1
10584,6,6
2595,2,2
588,1,1
444,1,1
8601,2,2
9991,1,11
1774,1,1
588,1,1
1988,1,1
148,1,1
2291,1,2
294,1,1
148,1,1
3064,3,3
9817,1,1
1788,1,1
2852,4,3
9600,1,11
588,1,1
1003,1,1
888,1,1
588,1,1
2688,1,1
8423,1,9
1692,1,1
7411,1,1
9018,2,14
740,1,1
6628,4,4
6720,2,3
7565,1,1
2372,1,2
7753,3,3
9523,1,11
7553,1,11
148,1,1
9530,1,1
11984,1,1
10876,1,1
9019,1,1
222,1,1
7912,1,9
8207,1,1
900,2,2
11412,5,5
10409,1,1
9974,1,12
296,1,1
11450,1,1
1083,2,2
588,1,1
6725,1,9
214,1,1
9645,1,10
6152,1,4
3774,3,3
2686,1,1
688,1,1
7100,1,9
4510,4,4
9866,1,1
8337,1,1
296,1,1
7107,1,10
11039,1,1
2756,1,2
4894,1,3
148,1,1
6458,1,9
10262,1,14
2316,1,1
148,1,1
6508,1,7
6117,1,9
7968,1,10
588,1,1
10875,1,1
7369,1,1
7482,1,1
1176,1,1
11546,1,14
592,1,1
7322,5,5
3114,2,2
2170,1,1
8636,1,10
888,1,1
1678,1,1
778,1,1
148,1,1
592,1,1
148,1,1
2434,1,1
10164,1,15
728,1,1
3750,4,4
9198,1,1
214,1,1
1498,1,1
222,2,2
196,1,1
9440,1,13
9049,3,11
12597,2,2
524,1,1
148,1,1
6304,1,9
6550,1,4
4444,3,3
1818,3,3
5799,1,9
6621,1,7
8638,1,9
12614,1,1
1984,1,1
148,1,1
10953,1,1
11344,1,1
6630,1,10
6878,2,3
1092,1,1
444,1,1
7860,1,1
7445,1,10
2070,2,2
14068,1,1
904,1,1
8675,1,1
9240,5,4
1182,1,1
2378,1,1
10171,1,13
3415,3,3
2590,1,2
1358,2,2
8621,1,10
588,1,1
588,1,1
11770,1,1
148,1,1
10532,4,4
2606,1,3
6346,5,4
2457,2,2
444,1,1
12219,1,1
7746,4,5
588,1,1
148,1,1
444,1,1
9347,1,1
13268,1,1
8737,1,13
6295,3,3
294,1,1
148,1,1
1486,1,1
2516,1,1
740,1,1
7860,1,12
148,1,1
3824,3,4
11325,1,1
888,1,1
296,1,1
588,1,1
7224,1,1
12346,1,14
14621,1,1
148,1,1
2422,3,3
9103,1,1
4426,2,3
592,1,1
1378,3,2
7165,1,1
296,1,1
2722,1,1
9198,1,1
148,1,1
5163,1,8
392,1,1
2580,1,1
9851,1,1
9056,1,11
148,1,1
294,1,1
939,1,1
1778,2,2
1584,1,1
4664,1,7
588,1,1
888,1,1
2889,3,3
2978,2,2
5525,1,1
2406,3,3
3244,1,2
2254,1,1
10921,2,2
6278,4,3
148,1,1
8854,1,13
1924,1,1
11015,1,13
8506,2,2
5105,4,4
588,1,1
296,1,1
10743,1,12
10263,1,1
392,1,1
7722,1,12
7451,1,9
2358,4,2
592,1,1
3289,1,5
2478,3,3
3050,2,2
588,1,1
1182,2,2
3904,1,1
2172,1,2
8558,1,1
74,1,1
148,1,1
148,1,1
